SF,payload_size,packets_sent,packets_received,PRR(%),throughput_bps,theoretical_throughput_bps,avg_rssi,avg_snr,toa_ms,total_duration_s
5,12,100,100,100.00,629.34,930.09,-3.01,11.05,103.22,15.25
5,32,100,100,100.00,7759.22,2420.21,-3.00,10.00,105.78,3.30
5,64,100,100,100.00,9589.77,4657.26,-3.00,10.02,109.94,5.34
5,128,100,0,0.00,0.00,8659.18,0.00,0.00,118.26,0.00
5,200,100,100,100.00,13124.65,12545.48,-3.00,10.98,127.54,12.19
